File Path,File Size
C:\Users\WOLINGS\Desktop\Ransomware\demo_file1.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\demo_file2.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\demo_file3.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\encryption_log.csv,256
C:\Users\WOLINGS\Desktop\Ransomware\key.key,256
C:\Users\WOLINGS\Desktop\Ransomware\Ransomeware-main\demo_file1.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\Ransomeware-main\demo_file2.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\Ransomeware-main\demo_file3.txt,256
C:\Users\WOLINGS\Desktop\Ransomware\Ransomeware-main\key.key,256
Directory Count,1
Subdirectory Count,15
Disk Size,12452
